我国最早的医学专著,神农本草经,黄帝内经,难经,伤寒杂病论,B,B
提出了“观其脉证，知犯何逆，随证治之”的辨证论治原则的书籍是,神农本草经,黄帝内经,难经,伤寒杂病论,D,D
提出了“四气五味”的药性理论的著作是,神农本草经,黄帝内经,难经,伤寒杂病论,A,A
我国第一部脉学专著是,脉经,诸病源候论,针灸甲乙经,千金要方,A,A
我国现存最早的针灸学专著是,脉经,诸病源候论,针灸甲乙经,千金要方,C,C
提出某些传染病是由自然界的“乖决之气”引起的医书是,脉经,诸病源候论,针灸甲乙经,千金要方,B,B
哪部医书开中国医学伦理学之先河,脉经,诸病源候论,针灸甲乙经,千金要方,D,D
提出三因理论的医家是,孙思邈,巢元方,陈言,皇甫谧,C,C
提出“五志过极皆为热甚”理论的医家是,刘完素,李杲,张从正,朱震亨,A,A
“攻邪派”的代表是,刘完素,李杲,张从正,朱震亨,C,C
倡言“百病皆由脾胃衰而生也”的医家是,刘完素,李杲,张从正,朱震亨,B,B
认为相火有“生生不息”功能，“人非此火不能有生”的医家是,刘完素,李杲,张从正,朱震亨,D,D
创“戾气”学说的医家是,薛雪,叶桂,吴有性,吴瑭,C,C
发展了淤血理论的著作是,医林改错,针灸甲乙经,诸病源候论,千金翼方,A,A
“内属于腑脏，外络千肢节”属于,人体是一个有机整体,五脏一体观,形神一体观,病理上的整体性,B,B
“有诸内，必形诸外”属于,人体是一个有机整体,五脏一体观,形神一体观,病理上的整体性,D,D
“神能驭气”属于,人体是一个有机整体,五脏一体观,形神一体观,病理上的整体性,C,C
我国第一部医学百科全书是,千金方,黄帝内经,诸病源候论,三因极一病症方论,A,A
创立了温热病的三焦辨证理论是,温病条辨,瘟疫论,温热论,湿热条辨,A,A
《针灸甲乙经》的作者是,王叔和,陈无择,皇甫谧,巢元方,C,C
《灵枢·五窿津液别》说“天暑衣厚则腠理开，故汗出...天寒则腠理闭，气湿不行，水下留于膀胱，则为溺与气”原因是,体质差异,气候特点,社会环境变化,地理环境变化,B,B
《素问·金匮真言论》中说，“长夏善病”,洞泄寒中,痹厥,胸胁,鼽衂,B,B
“夫百病者，多以……夕加”是因为,人气始生，病气衰,人气长，长则胜邪,人气始衰，邪气始生,人气入藏，邪气独居于身,C,C
《素问·脉要精微论》中言“秋日在肤”，则可见,如鱼之游在波,泛泛乎万物有余,垫虫将去,垫虫周密,C,C
下列各项中属于体征的是,恶心,眩晕,舌绛,头痛,C,C
下列有关“症”的表述中，正确的是,人体正气与邪气抗争而引起的机体阴阳失调的完整生命过程,症状和体征的总称，疾病过程中表现出的个别，孤立的现象,疾病过程中某一阶段或某一类型的病理概括,有特定的致病因素、发病规律和病机演变的一个完整的异常过程,B,B
“春日浮，如鱼之游在波；夏日在肤，泛泛乎万物有余；秋日下肤，垫虫将去；冬日在骨，垫虫周密”属于,自然环境对人体生理的影响,自然环境对人体病理的影响,社会环境对人体生理的影响,人体是一个有机整体,A,A
《灵枢·顺气一日分为四时》说：“夫百病者，多以旦慧、昼安、夕加、夜甚”体现了,自然环境对人体生理的影响,自然环境对人体病理的影响,社会环境对人体生理的影响,人体是一个有机整体,B,B
“骄恣纵欲”体现了,自然环境对人体生理的影响,自然环境对人体病理的影响,社会环境对人体生理的影响,社会环境对人体病理的影响,C,C
“尝富后贫”体现了,自然环境对人体生理的影响,自然环境对人体病理的影响,社会环境对人体生理的影响,社会环境对人体病理的影响,D,D
